NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Tsubasa Reservoir Chronicle #1|1|1|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-01.jpg|192|150.0|MXN|2018-03-17|¡¡Inicia el viaje de Shaoran en busca de las alas!!|750301825559001|1|false
Tsubasa Reservoir Chronicle #2|2|2|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-02.jpg|192|150.0|MXN|2018-06-29|Shaoran y los demás buscan una pluma en la república de Hanshin. Ahí los habitantes poseen algo llamado Kudan, que puede ser utilizado para pelear. El Kudan de Shaoran es de alto nivel, ¡es por eso que fuertes adversarios van tras de él! Ahora, sin antes haber experimentado el Kudan, ¡Kurogane y Fay muestran su gran poder en la batalla! Además de lidiar con el Kudan, ¡¡Shaoran se enfrentará a Shougo en una batalla que determinará el futuro de la pluma que contiene los recuerdos de Sakura!!|750301825709902|1|false
Tsubasa Reservoir Chronicle #3|3|3|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-03.jpg|192|150.0|MXN|2018-08-06|Shaoran aprovechó la batalla en la república de Hanshin para aprender a usar su Kudan y recuperar una de las plumas de Sakura. Ahora tendrá que despedirse de Shougo y Masayoshi para seguir su viaje. La siguiente parada es el reino Koryo, ¡donde el Ryanban impone su tiranía! Para obtener la pluma de Sakura, tendrán que derrotar al poderoso Ryanban. ¡¡Shaoran deberá infiltrarse en el castillo Ryon Fi!!|750301825731003|1|false
Tsubasa Reservoir Chronicle #4|4|4|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-04.jpg|192|150.0|MXN|2018-09-24|¡La feroz batalla entre Shaoran y el Ryanban por una de las plumas de Sakura concluye de manera inesperada! Después de tanto sufrir por obtener la pluma, finalmente, Sakura comienza a recuperar sus recuerdos poco a poco. ¡Así concluye la aventura en el reino de Koryo! ¡El siguiente mundo al que van Shaoran y los demás es al reino de la niebla! Cuando investigan, en medio de un enorme lago, ¡se manifiesta el pasado de Shaoran!|000-0-00-000000-0|1|false
Tsubasa Reservoir Chronicle #5|5|5|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-05.jpg|192|150.0|MXN|2018-11-17|Mientras buscan una pluma de Sakura en el reino de Jade, Shaoran conoce la leyenda de la princesa de los rizos dorados. Después, ¡Sakura la ve y la sigue hasta que desaparece! Shaoran y los demás deben ir al castillo del norte para buscar a los niños de la aldea y a una de las plumas. Surge la imagen de un posible culpable. ¡¡Llega a su final el misterio detrás de la leyenda del reino de Jade!!|000-0-00-000000-0|1|false
Tsubasa Reservoir Chronicle #6|6|6|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-06.jpg|192|150.0|MXN|2019-01-02|Los llamados oni que deben ser derrotados se mueven de modo misterioso en el reino Outo. Para obtener información, Shaoran se une a Kurogane para convertirse en cazadores de oni, mientras Fay y Sakura abren una cafetería. Después, durante una difícil batalla contra un oni, Shaoran comienza a obtener información inusual acerca de estos seres. Shaoran conocerá a un amigo y a un ser sorprendente. ¿Qué está sucediendo en el hermoso reino Outo?|000-0-00-000000-0|1|false
Tsubasa Reservoir Chronicle #7|7|7|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-07.jpg|192|150.0|MXN|2019-03-15|Shaoran, junto con Kurogane, está en busca del nuevo tipo de oni; sin embargo, queda perplejo después de encontrarse con Seishiro, el hombre que le enseñó a pelear. ¡Ahora Shaoran y Kurogane deben infiltrarse en la peligrosa Torre de la Gente Pequeña! Por otro lado, Fay se enfrenta a Seishiro en un combate donde deberá lidiar contra una fuerza impresionante. ¿Cuál es el secreto detrás del reino Outo? ¿Cuál es la apariencia del oni “I-1”? ¡¡Todo será revelado ahora!!|750301825996307|1|false
Tsubasa Reservoir Chronicle #8|8|8|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-08.jpg|192|150.0|MXN|2019-05-03|Ahora toca visitar un reino de animales misteriosos después de no haber obtenido la pluma de Sakura en el reino Outo. Ahí, Shaoran tiene que evitar un sacrificio que quieren hacer los animales. Para recuperar la pluma y por los animales, ¡Shaoran debe adentrarse en el bosque y enfrentar varios peligros hasta el momento que se encuentra con la verdadera forma de la bestia! ¡¡Hay que rescatar la misteriosa fuerza de Sakura!!|750301825997008|1|false
Tsubasa Reservoir Chronicle #9|9|9|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-09.jpg|184|150.0|MXN|2019-08-03|Shaoran y Sakura se separaron de Fay y Kurogane en el reino Shara. Además, quedan atrapados en un conflicto a causa de las estatuas de Ashura y Yasha. ¡Conforme este se intensifica, Sakura y Shaoran terminan en el reino Shura! ¿A quiénes encontró Shaoran en el campo de batalla?|000-0-00-000000-0|1|false
Tsubasa Reservoir Chronicle #10|10|10|/kamite-manga/tsubasa-reservoir-chronicle/tsubasa-reservoir-chronicle-10.jpg|184|150.0|MXN|2019-10-02|¡¡Llega a su fin la batalla entre el clan Ashura y el clan Yasha en el reino Shura!! Mientras Shaoran y los demás observan la batalla, todo se decide con las espadas de cada gobernante; sin embargo, parece que ambos esconden sus verdaderos sentimientos. ¿Qué sucederá con el deseo de Ashura-Ou? ¿Cuál es el último mensaje que dejaron los jóvenes? ¡¡Concluye la historia que se desarrolló desde el reino Shara hasta el reino Shura!!|000-0-00-000000-0|1|false
