NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Fairy Tail: 100 Years Quest #1|1|1|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-01.jpg|192|119.0|MXN|2020-11-25|¡Natsu, Happy, Lucy, Gray, Erza y Charles se embarcan en una nueva aventura! En esta ocasión se trata de la 100 Years Quest, una misión legendaria que consiste en sellar a cinco poderosos Dioses Dragón que residen en Giltena, el continente del Norte. Mientras tanto, una chica misteriosa que dice estar enamorada de Natsu se une a Fairy Tail, pero Gajeel siente algo extraño y peligroso en ella.|978-6-075-68071-2|1|false
Fairy Tail: 100 Years Quest #2|2|2|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-02.jpg|192|119.0|MXN|2021-02-24|¡Los magos de Fairy Tail son derrotados por el terrible poder de los Dragon Eaters, quienes capturan a Natsu, a Wendy y a Erza! Pero Gray y Lucy logran escapar y formulan un plan para rescatar a sus amigos. Mientras tanto en el gremio, Jellal revela la verdadera identidad de Toka y la confronta, pero las consecuencias de este acto serán graves. ¡Y, por si fuera poco, Mercuphobia pierde el control de su poder!|978-6-075-68186-3|1|false
Fairy Tail: 100 Years Quest #3|3|3|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-03.jpg|192|119.0|MXN|2021-04-28|A pesar de que pelea con todas sus fuerzas, Natsu está a punto de ser destruido por Mercuphobia, pero de pronto recibe ayuda y nuevos poderes de parte de Ignia, un misterioso dragón de fuego, así que gana la batalla. No obstante, Ignia solo pretende que Natsu se vuelva más fuerte para luego aniquilarlo. Más tarde, nuestros héroes se ponen en marcha para encontrar a Aldoron, el dios dragón de la madera, y durante el trayecto visitan un gremio sospechosamente similar a Fairy Tail...|978-6-075-68339-3|1|false
Fairy Tail: 100 Years Quest #4|4|4|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-04.jpg|192|119.0|MXN|2021-06-30|Natsu y los demás llegan a Draseal con intención de sellar a Aldoron, sin embargo, descubren algo fascinante: ¡la ciudad está edificada sobre la mano derecha del dios dragón! Pero no hay tiempo para maravillarse, pues nuestros héroes son atacados por el resto de los integrantes del gremio, quienes están bajo el control de Toka, la maga blanca. ¡Ahora seremos testigos de una batalla campal entre los compañeros de Fairy Tail y, para rematar, el gremio Diabolos irrumpirá en medio del caos!|978-6-075-68422-2|1|false
Fairy Tail: 100 Years Quest #5|5|5|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-05.jpg|192|119.0|MXN|2021-08-25|¡Natsu se reúne con Zeref y con Mavis en un sitio extraño! ¡¿Acaso murió?! ¡Y lo peor es que Wraith está a punto de devorar su alma! Por su parte, Gray, Lucy y Juvia libran un combate contra Kana, pero hay algo extraño en su comportamiento. ¿Realmente está bajo el control de la maga blanca? Mientras tanto, seremos testigos de un combate que hará que la Tierra retumbe: ¡Erza contra Laxus! ¡¿Quién se llevará la victoria, la espada o el rayo rojo?!|978-6-075-68559-5|1|false
Fairy Tail: 100 Years Quest #6|6|6|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-06.jpg|192|119.0|MXN|2021-11-03|¡Nebal usa la terrible transformación del Dragon Force para someter a Wendy! Pero, en el momento crítico, ella usa el poder residual que Irene Belserion dejó en su cuerpo. con resultados impresionantes e inesperados. Por otro lado, el último orbe de Aldoron finalmente es destruido; sin embargo, La Maga Blanca no puede absorber el poder del dragón. ¡¿Acaso fue engañada?! ¡Es momento de que los integrantes de Fairy Tail libren una gran batalla contra cinco dioses!|978-6-075-68763-6|1|false
Fairy Tail: 100 Years Quest #7|7|7|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-07.jpg|192|139.0|MXN|2021-12-22|El enorme y poderoso Aldoron parece un ser invencible; no obstante, los esfuerzos combinados de todos los integrantes de Fairy Tail someten a los dioses semilla y, gracias a la magia de Brandish, Gajeel se agiganta y debilita aún más al gran dragón. ¡Natsu debe aprovechar esta oportunidad para derrotar al cerebro de Aldoron! Mientras tanto, Diabolos envía a un caballero dragonslayer negro a cazar a la diosa dragón de la luna.|978-6-075-68851-0|1|false
Fairy Tail: 100 Years Quest #8|8|8|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-08.jpg|192|119.0|MXN|2022-02-23|Los integrantes de Fairy Tail deciden descansar tras la terrible batalla contra Aldoron, así que Faris, la Maga Blanca, aprovecha la ocasión para intentar trasladarlos a su mundo. ¡Pero por error terminan en Edolas, el reino sin magia! Ahí Faris revela que su lugar de origen, Elentir, está en peligro de ser destruido por Selene, la diosa dragón de la Luna. ¡quien irrumpe inesperadamente en la escena!|978-6-075-68946-3|1|false
Fairy Tail: 100 Years Quest #9|9|9|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-09.jpg|192|129.0|MXN|2022-04-27|Las Diosas de la Belleza Iluminadas por la Luna capturan a los integrantes del gremio y usan a Natsu y a Gray como entretenimiento en un banquete antes de arrojarlos a la base de la Montaña de la Luna Negra, donde se enfrentan. ¡a sus compañeras de Fairy Tail, quienes fueron convertidas en yokai! Mientras tanto, Suzaku, un terrible espadachín de Diabolos, llega a Elentir con intención de aniquilar a Selene.|978-6-076-36070-5|1|false
Fairy Tail: 100 Years Quest #10|10|10|/panini-manga-mx/fairy-tail-100-years-quest/fairy-tail-100-years-quest-10.jpg|192|129.0|MXN|2022-07-13|Las Diosas de la Belleza Iluminadas por la Luna derrotan a los integrantes del gremio y|978-6-076-36228-0|1|false
