NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Ouran High School Host Club #1|1|1|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-01.jpg|184|99.0|MXN|2014-06-04|La academia privada Ouran es una escuela para súper ricos. Al encontrarse perdida en el tercer salón de música, la alumna de honor, Haruhi, encuentra a los 6 apuestos miembros del Club de Anfitriones. Mientras está ahí, rompe un florero con un precio de ocho millones, ¿cómo se hará responsable?, ¿qué rol jugará su perfil dentro del Club de Anfitriones?¡¡¡Aquí está el esperado primer tomo!!!|978-6-075-28883-3|1|false
Ouran High School Host Club #2|2|2|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-02.jpg|192|99.0|MXN|2014-07-09|"Es el día de los exámenes médicos anuales. ¿Cómo hacer que el doctor no descubra que Haruhi es una chica? Se pone en marcha el plan: ¡Haruhi es hombre, pase lo que pase! Todo esto, y el sketch especial ""Egoistic Club"" en el tomo 2 de este popular manga."|978-6-075-28922-9|1|false
Ouran High School Host Club #3|3|3|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-03.jpg|200|99.0|MXN|2014-08-04|"El Club de anfitriones se traslada a una playa privada. Haruhi y Tamaki tienen su primera pelea en ese lugar, además ""la declaración de guerra contra el club"", ""la fiesta de Halloween"", ""la visita al hogar de Haruhi"" y un capítulo extra de Haruhi a los siete años con su papá. ¿¿Este es el fantástico tercer tomo!!"|978-6-075-28915-1|1|false
Ouran High School Host Club #4|4|4|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-04.jpg|200|99.0|MXN|2014-09-10|"El Club de Anfitriones hace una visita al hogar de Haruhi. ¿Qué pasará con Tamaki y la pésima primera impresión que le causó al papá de Haruhi? Además ""Las caries de Honey-sempai"", ""El Club de Alicia"", ""Club de Anfitriones ¡El Reporte!"" y la historia corta ""Egoísta del amor"". ¡Este es el excelso tomo 4!"|978-6-075-48047-3|1|false
Ouran High School Host Club #5|5|5|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-05.jpg|192|99.0|MXN|2014-10-22|"Los miembros del club salen corriendo detrás de Haruhi, quien va a trabajar en una pensión de Karuizawa durante las vacaciones de verano. Sin embargo, solo hay un cuarto libre.y Tamaki y los demás se enfrascan en una lucha para medir su nivel de.¿¿frescura?? Además, los capítulos de ""El examen de Haruhi"", ""Club de Anfitriones Policías"" y un apartado especial de Mori-senpai.Todo esto en el tomo 5."|978-6-075-48050-3|1|false
Ouran High School Host Club #6|6|6|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-06.jpg|200|99.0|MXN|2014-11-21|Supercelebración. ¡¿Un festival escolar en Ouran High School?! Todos quieren usar el salón central para hacer su presentación. ¡¡El Club de anfitriones estará en disputa con su rival más fuerte, el aguerrido equipo de fútbol americano!! Antes de la competencia, el Club recibe notas con amenazas para que se retiren del concurso. ¡¿Quién las habrá enviado.?!|978-6-075-48061-9|1|false
Ouran High School Host Club #7|7|7|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-07.jpg|200|99.0|MXN|2015-01-08|Aunque a veces parece que hay una muralla enorme entre los supermillonarios miembros del Club de Anfitriones y Haruhi, solo ella pudo descubrir algo sobre Lyouya, el tercer hijo de la familia Ootori. También saldrán a la luz más detalles sobre la situación de Honey y los gemelos. Además, tendremos a la Preparatoria Santa Lobelia. ¡Esto es solo una probada de todo lo que encontrarás en el séptimo tomo!|978-6-075-48057-2|1|false
Ouran High School Host Club #8|8|8|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-08.jpg|184|99.0|MXN|2015-01-29|Para las fiestas de la clase, Haruhi y el grupo de 1º A deciden organizar una prueba de valor en las instalaciones de la escuela. Sin embargo, el presidente de la clase tiene un secreto.¿¿qué harán Hikaru y Kaoru cuando se enteren?? También, un episodio de cuando Tamaki y Kyouya se conocieron, y la aparición de un nuevo personaje, ¡¡con una mirada súper perversa!! ¡Este es el tan esperado, fantástico y grandioso tomo 8!|978-6-075-48104-3|1|false
Ouran High School Host Club #9|9|9|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-09.jpg|192|99.0|MXN|2015-02-18|"Cuando iban en segundo de secundaria, los gemelos Hikaru y Kaoru hacían menos a las personas que los rodeaban y su corazón estaba cerrado por completo. Aun así.¿Tamaki los invitó a pertenecer al Club de Anfitriones?No solo encontrarás esta historia secreta de los orígenes del club.¡el resto está lleno de historias sensacionales! Además, incluimos una historia más de ""egoísta del amor"" en el tan esperado tomo 9."|978-6-075-48103-6|1|false
Ouran High School Host Club #10|10|10|/panini-manga-mx/ouran-high-school-host-club/ouran-high-school-host-club-10.jpg|200|99.0|MXN|2015-03-18|La reina de las maldiciones, Reiko Kanazuki, ha elegido una nueva víctima para sus hechizos, y se trata de uno de los miembros del Club de Anfitriones: ¡Honey-senpai! Además, ¡un nuevo personaje! Durante el verano, Haruhi ayudará a cuidar a Mei Yasumura, quien tiene una pésima relación con su papá, Misuzu, y el Club de Anfitriones ya elabora un plan para reconciliarlos. Mientras tanto, Haruhi sigue evitando a Tamaki desde el incidente del beso. ¿Qué ocurrirá entre ellos?|978-6-075-48096-1|1|false
