NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Junjo Romantica #1|1|1|/panini-manga-mx/junjo-romantica/junjo-romantica-01.jpg|193|119|MXN|2018-10-24|Panini Manga te trae Junjo Romantica, un nuevo yaoi que te hará descubrir lo más auténtico del amor. Sigue las historias de cuatro parejas que luchan por convertir su pasión en relaciones duraderas y felices. En este tomo 1, conocerás a Akihiko, un escritor afamado que se enamora de Misaki, el hermano de quien fue su gran amor no correspondido. Juntos tendrán que aprender a convivir bajo el mismo techo y a superar los celos de quien se enamora de un hombre menor. Adéntrate también en la historia de Hiroki y Nowaki, donde el orgullo, la pobreza y las ganas de superarse podrían ensombrecer su incipiente amor. ¡Emociónate con la ternura y el sentimiento de Junjo Romantica 1!|978-6-075-48369-6|1|FALSE
Junjo Romantica #2|2|2|/panini-manga-mx/junjo-romantica/junjo-romantica-02.jpg|200|119|MXN|2018-12-12|La exigente editora de Usami irrumpe en la tranquilidad del departamento que él comparte con Misaki, lo que provoca que el joven estudiante experimente algo que nunca antes había sentido por alguien: los terribles celos. Y en Junjo Egoist, Nowaki regresa de su largo viaje al que partió sin darle ninguna explicación a Hiroki. Así que el corazón y la mente de Hiroki están hechas un caos. Pero una importante revelación de Nowaki le hará comprender a Hikori cuán equivocado estaba. ¡El segundo volumen de Junjo Romantica te hará descubrir la profundidad del amor!|000-0000000000|1|FALSE
Junjo Romantica #3|3|3|/panini-manga-mx/junjo-romantica/junjo-romantica-03.jpg|194|119|MXN|2019-02-06|"Cuando menos se dio cuenta, Masaki terminó viviendo con Usami, amigo de su hermano y novelista yaoi renombrado. Poco a poco, Masaki descubre que ama a Usami. Por eso, en una ocasión en que están teniendo relaciones, a Misaki se le escapa un suave ""Creo que te quiero"". No obstante, Misaki no puede considerarse el verdadero novio de Usami, así que su cabeza y su corazón se vuelven un caos."|978-6-075-48568-3|1|FALSE
Junjo Romantica #4|4|4|/panini-manga-mx/junjo-romantica/junjo-romantica-04.jpg|178|119|MXN|2019-04-03|Nowaki está encantado desde que vive con Kiroki, pero ignora que éste guarda un pasado que podría terminar afectando la relación. Por otro lado, Misaki le reprocha a Akihiko que no se da a conocer tanto y que parece un completo desconocido, sobre todo porque Akihiko vive un acontecimiento importante del que no tenía idea el joven Misaki. ¿Podrá resistir su relación el hecho de que el laureado escritor sea tan hermético?|978-6-075-48758-8|1|FALSE
Junjo Romantica #5|5|5|/panini-manga-mx/junjo-romantica/junjo-romantica-05.jpg|210|119|MXN|2019-06-19|Los despreocupados gastos de Usagi se topan con la actitud ahorrativa de Misaki, quien no desea compartir el estilo de vida despilfarrador y estrafalario del exitoso escritor. Algo muy diferente a lo que viven Yo y Shinobu, cuyo encuentro accidental suscitará un intenso enamoramiento frente a la imposibilidad de estar juntos por la gran diferencia de edad. ¡Junjo Terrorist se une por primera vez a la familia de Junjo Romantica en el nuevo tomo de este apasionante manga yaoi!|978-6-075-48842-4|1|FALSE
Junjo Romantica #6|6|6|/panini-manga-mx/junjo-romantica/junjo-romantica-06.jpg|200|119|MXN|2019-08-14|El elegante y rico Haruhiko trata de robarle a su hermano Akihiko el amor del joven Misaki. Con innumerables obsequios, dulces y fresas, e incluso la promesa de vivir en una lujosa mansión y de poseer un auto, Haruhiko busca seducir a Misaki y de ganar su voluntad. ¿El afecto de Misaki por Akihiko será a prueba de beneficios materiales? Por otro lado, en Junjo Terrorist, Shinobu descubre algo en el auto de Miyagi que lo vuelve distante, frío e indiferente. ¿La reciente historia de amor entre el profesor adulto y el adolescente terminará pronto?|978-6-075-48914-8|1|FALSE
Junjo Romantica #7|7|7|/panini-manga-mx/junjo-romantica/junjo-romantica-07.jpg|194|119|MXN|2019-10-09|"Keiichi Sumi, sempai y amigo de Misaki, deja ver que el jovencito le gusta y que desea compartir ""algo más"" con él. Hasta que una noche, en su casa, se descubre toda la sorpresiva verdad frente al asombrado Usami. ¿Sumi será capaz de resquebrajar la relación de Usami y Misaki? Y en Junjo Terrorist, los muertos se hacen presentes para arreglar los problemas entre Miyagi y Shinobu. ¿Podrán retomar su relación o tendrán que despedirse definitivamente, a pesar de que ""el destino"" los unió? ¡Enamórate del amor con las intensas historias de Junjo Romantica 7!"|978-6-075-48994-0|1|FALSE
Junjo Romantica #8|8|8|/panini-manga-mx/junjo-romantica/junjo-romantica-08.jpg|192|119|MXN|2020-02-12|En una estación de tren, Misaki ayuda a un sujeto maduro elegante a comprar su boleto y entabla una confiada conversación con él. Cuando descubre la identidad de ese hombre, ya es demasiado tarde: ¡es el padre de Usami! ¿Por esa razón el afamado escritor le dice a Misaki que busque un lugar propio para vivir? Con todas las dudas y preocupaciones que esto le genera a Misaki, encima tiene que librarse del insistente padre de Usami, quien persiste en invitarlo a comer para mostrarle su agradecimiento. ¿Qué singular atracción ejerce Misaki en los hombres de la familia Usami? ¡Descúbrelo en las páginas del tomo 8 de Junjo Romantica!|978-6-076-34042-4|1|FALSE
Junjo Romantica #9|9|9|/panini-manga-mx/junjo-romantica/junjo-romantica-09.jpg|192|119|MXN|2020-07-01|Sin previo aviso, una mujer irrumpe en el departamento de Usami para exigirle que se case con ella. Es Kaoruko Usami, la prima del famoso escritor de novelas yaoi. Su intempestiva llegada se debe a que está huyendo del señor Fuyuhiko Usami, el patriarca de la familia, quien desea casarla con Haruhiko, su hijo menor. En medio de todo este embrollo, Misaki se encuentra por casualidad con el señor Fuyuhiko, quien le revela lo que el joven universitario representa en realidad para esa familia. Devastado y confundido, Misaki toma una decisión que podría costarle su amor por Akihiko. ¡El amor verdadero, aquel que vence cualquier barrera familiar, se encuentra en las páginas del tomo 9 de Junjo Romantica!|978-6-076-34110-0|1|FALSE
Junjo Romantica #10|10|10|/panini-manga-mx/junjo-romantica/junjo-romantica-10.jpg|192|119|MXN|2020-11-18|"""¿Y si Usagi llegara a enterarse de que su padre, el señor Fuyuhiko, me dijo que él y yo no somos el uno para el otro? ¿O que su hermano Haruhiko me besó y me propuso que me fuera a vivir con él porque me ama?"", se pregunta el atribulado Misaki, todo lleno de dudas y con una permanente dificultad para aceptar que, simplemente, ama a Usagi. ¿Tendrá razón el padre de Usagi y, entonces, lo mejor sería aceptar la propuesta de Haruhiko? ¡Descubre si el amor de Usagi y Misaki es a prueba de enredos en el tomo 10 de Junjo Romantica?"|978-6-076-34178-0|1|FALSE
