NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Naruto #1|1|1|/panini-manga-mx/naruto/naruto-01.jpg|192|99.0|MXN|2014-12-03|¡EL INICIO DE ESTA INCREÍBLE SAGA!La historia comienza en un discreto pueblo llamado Konoha. Ahí encontramos a un niño llamado Naruto, quien estudia en la Escuela Ninja y se divierte haciendo travesuras a sus comañeros. ¿Será posible que Naruto cumpla su gran sueño de convertirse en el sucesor hokage y supere la leyenda de sus antepasados? Aunque, en realidad, los orígenes de este singular personaje siguen siendo un misterio.¡NO TE LO PIERDAS!|977228124490901|1|false
Naruto #2|2|2|/panini-manga-mx/naruto/naruto-02.jpg|208|99.0|MXN|2015-01-21|Naruto, Sasuke y Sakura, los tres aprendices de ninja (genin) sobrevivieron el arduo examen de Kakashi sensei. Ahora, los espera su primera misión: proteger al constructor de puentes Tazuna. Lo que no saben es que una sombra se acerca sigilosamente.|977228124490902|1|false
Naruto #3|3|3|/panini-manga-mx/naruto/naruto-03.jpg|208|99.0|MXN|2015-02-18|El “demonio Zabuza”, quien perdió la batalla contra el sharingan de Kakashi, ¡volvió a la vida! Y, al llegar al Reino de las Olas escoltado por Tazuna, Naruto y sus amigos fueron presa de la preocupación al enterarse de esto. ¡Pero no es el momento de ponerse a temblar! Para prepararse, los jóvenes genin deberán iniciar uno de los entrenamientos más arduos de su vida. Claro, ¡bajo la tutela de Kakashi sensei!|977228124490903|1|false
Naruto #4|4|4|/panini-manga-mx/naruto/naruto-04.jpg|184|99.0|MXN|2015-03-18|Con Sasuke caído, el zorro de nueve colas ha resurgido en Naruto, y ahora no solo Haku corre peligro, sino todos los que están en el puente. Además, Kakashi le demostrará a Zabuza cómo pelea sin usar el sharingan, y veremos el plan malévolo que Gato tuvo desde el comienzo. No te pierdas el gran final del arco “El puente de la valentía” en este Naruto #4.|977228124490904|1|false
Naruto #5|5|5|/panini-manga-mx/naruto/naruto-05.jpg|184|99.0|MXN|2015-04-15|Luego de vencer a Zabuza y a Gato, Naruto y los demás volvieron a Konoha. Ahí, Kakashi los propuso como candidatos para presentar los exámenes de selección chunin, famosos por su dificultad. Aunque todo el equipo decidió participar, podrían tener complicaciones para inscribirse, ahora que Rock Lee, un misterioso shinobi que también presentará la prueba, ha retado a Sazuke a un duelo.|977228124490905|1|false
Naruto #6|6|6|/panini-manga-mx/naruto/naruto-06.jpg|184|99.0|MXN|2015-05-13|Naruto, Sasuke y Sakura pasaron la estresante primera parte del examen de selección chunin: la prueba escrita, donde más que saber, debían recabar información de sus compañeros como verdaderos shinobi. Ahora ha empezado la segunda parte del examen: la prueba de supervivencia, la cual será realmente difícil, sobre todo cuando un misterioso ninja con poderes de serpiente se les interponga.|977228124490906|1|false
Naruto #7|7|7|/panini-manga-mx/naruto/naruto-07.jpg|192|99.0|MXN|2015-06-24|Con Naruto, Sasuke y Lee desmayados, y el trío de ninjas del sonido dispuestos a terminar con todos, Sakura ha decidido volverse fuerte para dejar de ser una carga para sus compañeros. Así, ha sacrificado su vanidad a favor de sus amigos. Además, no está sola, porque el equipo de Ino ha llegado y está decidió a ayudar. No te pierdas uno de los momentos más complicados de la segunda prueba de selección chunin en este Naruto #7.|977228124490907|1|false
Naruto #8|8|8|/panini-manga-mx/naruto/naruto-08.jpg|184|99.0|MXN|2015-07-22|La tercera fase del examen estaba a punto de comenzar cuando Naruto y sus compañeros descubrieron que deben superar una etapa de selección previa. Después de la inesperada salida de Kabuto, veinte aspirantes deberán luchar entre sí para ganarse un lugar en la siguiente fase.|977228124490908|1|false
Naruto #9|9|9|/panini-manga-mx/naruto/naruto-09.jpg|192|139.0|MXN|2015-08-19|En el tercer examen de las preliminares se desatan fervientes combates entre 20 shinobis. Los primeros que pasan la prueba son Sasuke, Shino y Kankuro. Ahora, la batalla entre Sakura e Ino está en pleno clímax. ¿Qué pasará con Naruto? Quizá después de este combate una batalla marcada por el destino tenga lugar.|977228124490909|1|false
Naruto #10|10|10|/panini-manga-mx/naruto/naruto-10.jpg|184|99.0|MXN|2015-09-16|¡Las preliminares del tercer examen siguen sorprendiendo! Gaara, quien es capaz de manipular la arena de su calabaza, se enfrentará contra Lee, el experto en taijutsu. ¡Y la fuerza sobrehumana de este pone en aprietos a Gaara! ¡¿Cuál será el resultado de tan impresionante combate?!|977228124490910|1|false
