NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Captain Tsubasa #1|1|1|/panini-manga-mx/captain-tsubasa/captain-tsubasa-01.jpg|200|99|MXN|2017-03-15|Tsubasa Ozora es un estudiante de primaria que sabe muy bien lo que quiere: ser uno de los mejores jugadores de futbol en todo el mundo. Para lograrlo, su constancia, esfuerzo y talento serán cruciales. Se acaba de mudar a un pueblo en el que un solo equipo de futbol controla las canchas: el equipo de la primaria privada Shutetsu, cuyo portero, Genzo Wakabayashi, es el más impresionante de todos. ¿Tsubasa será capaz de anotarle un gol?|978-6075284422|1|FALSE
Captain Tsubasa #2|2|2|/panini-manga-mx/captain-tsubasa/captain-tsubasa-02.jpg|200|99|MXN|2017-04-12|El equipo de Nankatsu entrena muy duro todos los días con un solo objetivo: derrotar por primera vez a la escuadra de Shutetsu, liderada por el genial portero Genzo Wakabayashi. El día del encuentro llegó y ambos equipos luchan incansablemente para obtener la victoria. Tsubasa Ozora tiene la misión de proteger a su equipo, pero también es el único que puede anotarle un gol a Wakabayashi, por lo que decide salir al ataque. Las porras de los dos equipos dan ánimo a sus jugadores mientras se preguntan quién será el vencedor.|978-6075284866|1|FALSE
Captain Tsubasa #3|3|3|/panini-manga-mx/captain-tsubasa/captain-tsubasa-03.jpg|192|99|MXN|2017-05-10|El partido contra Shutetsu fue muy difícil y eso que apenas es el comienzo. Ahora Tsubasa y sus amigos tienen un nuevo reto: estar entre los 30 seleccionados que representarán a la ciudad de Nankatsu en el torneo de prefecturas. Para lograrlo, deberán entrenar arduamente y trabajar muy duro en equipo, pues la competencia es muy reñida y todos quieren estar en esa selección. Mientras tanto, Roberto Hongo les hace una sorprendente petición a los papás de Tsubasa. ¿Qué estará tramando el jugador brasileño?|978-6075285092|1|FALSE
Captain Tsubasa #4|4|4|/panini-manga-mx/captain-tsubasa/captain-tsubasa-04.jpg|208|99|MXN|2017-06-14|El equipo de Nankatsu está a un paso de obtener su lugar en el campeonato nacional. Sin embargo, antes tiene que superar al Shimizu, un equipo fuerte que se caracteriza por tener la defensa más poderosa de todo el torneo de prefectura. Durante el partido, Genzo se lesiona debido a una falta que le cometen y no podrá participar en los siguientes encuentros de Nankatsu. Entonces, el entrenador decide que Tsubasa será el nuevo capitán del equipo.|978-6075285559|1|FALSE
Captain Tsubasa #5|5|5|/panini-manga-mx/captain-tsubasa/captain-tsubasa-05.jpg|198|99|MXN|2017-07-12|Llegó el primer partido del Campeonato Nacional: Nankatsu contra Meiwa. Tsubasa y sus compañeros logran adelantarse en el marcador, pero jamás imaginaron el poderoso contraataque de Hyuga, el tigre furioso. ¿Quién será el ganador de esta batalla en la cancha de futbol? Además, en este volumen hace su debut el defensa Ryo Ishisaki.|978-6075285863|1|FALSE
Captain Tsubasa #6|6|6|/panini-manga-mx/captain-tsubasa/captain-tsubasa-06.jpg|184|99|MXN|2017-08-09|El campeonato Nacional comenzó y el equipo de Nankatsu se propone ganar las preliminares de la prefectura pero el pilar del equipo, Wakabayashi, se lastima en uno de los partidos y no puede jugar el siguiente encuentro. Entonces Tsubasa surge como el nuevo capitán.|978-6075286228|1|FALSE
Captain Tsubasa #7|7|7|/panini-manga-mx/captain-tsubasa/captain-tsubasa-07.jpg|198|99|MXN|2019-09-13|El campeonato Nacional continua y aunque Nankatsu pierde contra el Meiwa, consigue ganar los siguientes partidos y pasa a la siguiente ronda. Ahora solo quedan los cuatro mejores equipos: Nankatsu, Meiwa, Furano y Musashi, los cuales se enfrentarán en las semifinales.|978-6075286884|1|FALSE
Captain Tsubasa #8|8|8|/panini-manga-mx/captain-tsubasa/captain-tsubasa-08.jpg|192|99|MXN|2019-10-11|La semifinal entre el Meiwa y el Furano no fue tan fácil como Kojiro Hyuga lo esperaba, pues el gran trabajo en equipo de sus rivales impidió que Hyuga mostrara su gran poderío en la cancha. Sin embargo, gracias al talento de Takeshi, el Meiwa logra pasar a la gran final. La ronda de semifinales continúa y Nankatsu se enfrenta contra el Musashi, equipo que cuenta con uno de los mejores jugadores de todo el campeonato: Jun Misugi, cuyo talento representa un gran reto para el capitán Tsubasa. Todo indica que es el fin de Nankatsu, a menos de que Tsubasa recupere su confianza y logre superar su miedo, pero ¿será capaz de hacerlo?|978-6075287560|1|FALSE
Captain Tsubasa #9|9|9|/panini-manga-mx/captain-tsubasa/captain-tsubasa-09.jpg|208|99|MXN|2019-11-08|El partido de semifinal contra el Musashi fue un gran reto para Nankatsu, pero a pesar de todas las dificultades, Tsubasa logró superar su miedo y vencer al gran jugador Jun Misugi. Sin embargo, un reto mayor los espera en la final: el poderoso Meiwa, que cuenta con el ataque feroz de Kojiro Hyuga y la grandiosa habilidad de un portero misterioso.|978-6075287607|1|FALSE
Captain Tsubasa #10|10|10|/panini-manga-mx/captain-tsubasa/captain-tsubasa-10.jpg|208|99|MXN|2017-12-13|Los jugadores de Nankatsu finalmente se vengan de Meiwa, se enfrentan en la final del torneo nacional juvenil: una pelota golpeada por Tsubasa y Misaki permite que el equipo abra el marcador. Por otro lado, el regreso de Genzo Wakabayashi, el genial portero, le da a Nankatsu todas las posibilidades de ganar el partido. Kojiro Hyuga, el capitán del Meiwa FC, sin embargo, muestra una actitud extraña: aunque su equipo es conducido al marcador y, a pesar de la calidad del portero, persiste en disparar desde fuera de la superficie...|978-6075287669|1|FALSE
