NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Black Bird #1|1|1|/panini-manga-mx/black-bird/black-bird-01.jpg|192|99|MXN|2017-01-17|Misao Harada es una joven estudiante de preparatoria capaz de ver criaturas sobrenaturales. Ella decidió esconder este poder para no alejar al resto de la gente, pero en su cumpleaños 16 las visiones dejan de ser inofensivas: un grupo de yokai la asedia para alimentarse de ella. Ella es la esposa prometida de la que deben comer, beber y apoderarse. Ahora ella depende de la protección de Kyo, un antiguo amigo de la infancia que también es un ser sobrenatural. ¡Vive el romance y el peligro con Black Bird de Kanoko Sakurakouji, el nuevo manga que Panini trae para ti!¿Volvió por mí? Esa promesa infantil. ¡no era en serio! -Misao HaradaHace diez años vivía aquí... ¿No lo recuerdas? Solíamos jugar mucho antes. -Kyo UsuiTú eres... alimento para nosotros, los duendes. Cada 100 años nace un humano como tú. Si los duendes beben tu sangre, incrementan su vida. Si comen tu carne, serán jóvenes por siempre. -Izayama|978-6075283692|1|FALSE
Black Bird #2|2|2|/panini-manga-mx/black-bird/black-bird-02.jpg|192|99|MXN|2017-02-17|Al parecer, la familia Tengu es más extensa de lo que parecía a primera vista. ¡Los Ocho Grandes Tengu han llegado para ofrecer sus servicios al líder de la familia! Entre ellos se encuentra Sojo, el hermano de Kyo, quien tiene una personalidad misteriosa y guarda unos cuantos secretos. Con todo, parece que las crisis afianzan las relaciones y Misao al fin está lista para aceptar los sentimientos de Kyo.|978-6075284026|1|FALSE
Black Bird #3|3|3|/panini-manga-mx/black-bird/black-bird-03.jpg|192|99|MXN|2017-03-17|Para conocer lo que sucederá a Misao Harada, si se convierte en esposa de Kyo, es necesario leer el contenido del Registro del Fruto Sagrado. Es con ese fin que Misao visita voluntariamente el territorio de un clan enemigo, pues cuenta con la protección del collar que le obsequió Kyo. Sin embargo, las intenciones de Shuhei Kuzunoha no parecen del todo claras y Kyo deberá poner un límite definitivo a sus trampas, así como comprobar la voluntad de Misao de formar parte del mundo sobrenatural del que Kyo será líder.|978-6075284385|1|FALSE
Black Bird #4|4|4|/panini-manga-mx/black-bird/black-bird-04.jpg|192|99|MXN|2017-04-26|Gracias al conocimiento de Kensuke Dojoji acerca del contenido de la primera parte del Registro del Fruto Sagrado, el futuro de Misao se cree un poco más claro y la paz parece estar de vuelta. Sin embargo, la muerte de Shuhei Kuzunoha a manos de Kyo ha forzado a Tadanobu Kuzunoha a convertirse en Cabeza de Familia de su clan, lo que lo obliga a intentar apoderarse del Fruto Sagrado y a olvidarse de su amor por la humana Ren. ¿Podrá este joven ayakashi vengar a su hermano y destruir a Kyo a pesar de su gran amistad?|978-6075284835|1|FALSE
Black Bird #5|5|5|/panini-manga-mx/black-bird/black-bird-05.jpg|192|99|MXN|2017-05-24|Se acerca la navidad y el paradero del Registro del Fruto Sagrado continúa desconocido, lo que pone en peligro a Misao, pues muchos otros clanes podrían intentar hacerla suya. La presión para que Kyo y el Fruto Sagrado se unan es cada vez mayor y se verán en la necesidad de viajar a la aldea Tengu, no solo para protegerse de otros clanes, sino del propio hermano de Kyo, quien desde las sombras de su prisión podría controlar el destino más de que lo el actual cabeza de familia quisiera reconocer.|978-6075285481|1|FALSE
Black Bird #6|6|6|/panini-manga-mx/black-bird/black-bird-06.jpg|192|99|MXN|2017-06-28|Misao decide actuar como señuelo para terminar con los planes de Sojo durante su visita a la aldea de los tengu, pero se ve traicionada y termina encerrada con su terrible enemigo. Otro clan aprovecha la crisis para atacar la aldea y en medio de la confusión se conocerán fragmentos del pasado que podrían ser de vital importancia en la vida del Fruto Sagrado. Los Ocho Grandes Tengu actúan rápidamente para salvar a la princesa, pero, cuando ya creían que el poder de Kyo se había consolidado, una amenaza mayor se presentó ante ellos.|978-6075285788|1|FALSE
Black Bird #7|7|7|/panini-manga-mx/black-bird/black-bird-07.jpg|192|99|MXN|2017-07-26|Misao no soporta el dolor de pensar siquiera en que para conocer la parte que les falta del Registro del Fruto Sagrado Kyo debe tener relaciones sexuales con otra mujer, pero decide ubicarse en el nivel de la futura esposa del líder de los tengu y respaldar las decisiones que se tomen por el bien de todo el clan. Poco después, Yoshio Harada enferma durante un viaje y vuelve a casa con un extraño invitado que solo provocará enormes daños a Misao.|978-6075286099|1|FALSE
Black Bird #8|8|8|/panini-manga-mx/black-bird/black-bird-08.jpg|192|99|MXN|2017-08-23|Raikoh Watanabe consigue un arma para exorcizar a Kyo, quien planea una contramedida para hacer frente a los ataques del rencoroso joven. Sin embargo, un cuando el plan del tengu no dañará el cuerpo de Raikoh, sí representará un daño semejante al que la propia Misao sufrió en su infancia. Antes de actuar contra el exorcista, los enamorados intentarán razonar con él, pero jamás pudieron prever las medidas que este había tomado para acabar para siempre con Kyo, pues la sangre de Misao no será suficiente para salvarlo. ¡¿Acaso ha llegado el momento de unirse definitivamente?!|978-6075286792|1|FALSE
Black Bird #9|9|9|/panini-manga-mx/black-bird/black-bird-09.jpg|192|99|MXN|2017-09-17|Luego del certero ataque de Raikoh y su treta para que la sangre de Misao fuera venenosa para el moribundo Kyo, este no tenía más opción que acostarse con su amada, y ahora ¡todos los akayashi en Japón se han enterado del acontecimiento! Y aunque las cosas parecen haberse tranquilizado, ataques de humanos poseídos por ayakashi enemigos empiezan a suceder alrededor de Misao. Alguien trabaja desde las sombras para debilitar al clan tengu, pero ¿quién?|978-6075287201|1|FALSE
Black Bird #10|10|10|/panini-manga-mx/black-bird/black-bird-10.jpg|192|99|MXN|2017-10-25|Los ataques hacia los humanos continúan en aumento y no hay señal de que los Ocho Grandes estén cerca de descubrir a los responsables. Mientras tanto, Kyo no cesa de rechazar a su padre, quien apareció luego de cinco años de ausencia, y Misao es quien busca explicaciones sobre su desaparición. Es él quien le revela a Misao que Sho no murió aplastado y es quien dirige los ataques para debilitar a Kyo. Sho hace entonces su aparición a través de un baño de sangre, pero pide al clan que lo acepte de nueva cuenta. ¿Qué deberá hacer Kyo?|978-6075287263|1|FALSE
