NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
FuriFura: Amores y Desengaños #1|1|1|/panini-manga-mx/furifura/furifura-01.jpg|200|109.0|MXN|2019-05-01|Esta historia se gira alrededor de Yuna y Akari dos chicas quienes tienen dos perspectivas muy diferentes del amor: Yuna es alguien que ve el amor como un sueño y Akari lo ve con seriedad y decisiones importantes que tomar. Mientras tanto, están dos chicos, Kazuomi y Rio, que también tienen dos puntos de vista diferente en el amor: Kazuomi es un cabeza hueca que no entiende el concepto del amor mientras que a Rio le gusta cualquier chica que se vea linda. ¿Cómo se cruzarán sus caminos?|978-6-075-48852-3|1|false
FuriFura: Amores y Desengaños #2|2|2|/panini-manga-mx/furifura/furifura-02.jpg|109|109.0|MXN|2019-06-26|Yuna se da cuenta de que está enamorada de Rio y su amiga Akari, un poco a regañadientes, decide ayudarla a estar más cerca de él pidiéndole a Rio que la ayude con el estudio. Así Yuna tiene la oportunidad de hablar cada vez más con Rio y conocerlo poco a poco. Un día, el extraño comportamiento de la madre de Akari hace que Yuna se entere de la verdad: Akari y Rio no son hermanos. ¿Qué va a hacer Yuna ahora que sabe que su primer amor y su mejor amiga viven una situación familiar tan complicada?|978-6-076-34017-2|1|false
FuriFura: Amores y Desengaños #3|3|3|/panini-manga-mx/furifura/furifura-03.jpg|200|109.0|MXN|2019-08-28|Una Yuna cada vez más fuerte saca valor para confesarle a Rio lo que siente por él, y este la rechaza, pues todavía está enamorado de su hermanastra, Akari. La situación se tensa un poco entre ambos, pero pronto vuelven a ser amigos y Rio encuentra en Yuna una amiga a la que contar sus angustias. Por otro lado, cierto día Akari llega más tarde de lo normal a casa, haciendo que sus amigos se preocupen. Rio se enfada con ella, pero Kazu, más comprensivo, la escucha y la reconforta. Akari se sorprende entonces sintiéndose inesperadamente atraída hacia él. ¿Es este el principio de un nuevo amor?|978-6-076-34189-6|1|false
FuriFura: Amores y Desengaños #4|4|4|/panini-manga-mx/furifura/furifura-04.jpg|176|109.0|MXN|2019-10-23|Akari se da cuenta de que está enamorada de Kazu y no puede sacárselo de la cabeza. Cuando le cuenta a Yuna, esta, que también conoce los sentimientos de su querido Rio hacia Akari, se siente perdida, pues quiere apoyarlos a ambos. Llega un punto en que el mismo Rio intuye lo que Akari siente por su amigo y cada vez se siente peor; especialmente después de los rumores que se suscitan tras el maratón escolar... Harto de reprimir sus sentimientos, cierto día Rio no lo soporta más... ¡y besa inesperadamente a Akari!|978-6-076-34239-8|1|false
FuriFura: Amores y Desengaños #5|5|5|/panini-manga-mx/furifura/furifura-05.jpg|176|109.0|MXN|2019-12-25|Rio besa a su hermanastra Akari, de quien lleva tiempo enamorado, y esta, temerosa de que Rio tire por la borda todo el esfuerzo que han hecho por amoldarse a su nueva situación familiar, se enoja con él. El ambiente entre ambos se enrarece. No obstante, gracias a la intervención de Yuna, Rio entiende que hizo mal y le pide disculpas a Akari. Ella, por su parte, está enamorada de Kazu, pero no sabe si él siente lo mismo... Para colmo, ¡Rio se descubre soñando de repente con Yuna...!|978-6-076-34462-0|1|false
FuriFura: Amores y Desengaños #6|6|6|/panini-manga-mx/furifura/furifura-06.jpg|176|119.0|MXN|2020-02-26|Akari está enamorada de Kazuomi y, cansada de no saber lo que él piensa de ella, le propone que salgan juntos. No obstante, Kazuomi la rechaza porque cree que su amigo Rio está enamorado de ella. Por su parte, Rio se empieza a sentir muy atraído por Yuna, pero parece que su amigo y compañero de clase, Agatsuma, también siente algo por ella...|978-6-076-34602-0|1|false
FuriFura: Amores y Desengaños #7|7|7|/panini-manga-mx/furifura/furifura-07.jpg|176|119.0|MXN|2020-06-24|Tras hablar con su amigo, Kazu finalmente comprende que Rio ya no está enamorado de Akari, y eso lo alivia, pero cuando por fin parece que tiene el camino libre con ella, se entera de que el exnovio de Akari va a ir a visitarla al festival cultural... Por otro lado, Rio, que está enamorado de Yuna, decide declarársele durante la fiesta, pero Agatsuma adivina las intenciones de su amigo y se las ingenia para quedarse a solas con ella antes...|978-6-076-34746-1|1|false
FuriFura: Amores y Desengaños #8|8|8|/panini-manga-mx/furifura/furifura-08.jpg|184|119.0|MXN|2020-08-10|Durante el festival cultural, Rio decide confesarle sus sentimientos a Yuna, y Yuna pretende hacer lo mismo con Rio. Los dos ignoran que sus sentimientos son correspondidos y, cuando por fin dicen lo que sienten, se abrazan y empiezan a salir juntos, aunque Yuna está tan feliz y nerviosa al mismo tiempo que no sabe muy bien cómo llevar la situación. Por otro lado, un día que Kazu, Akari, Yuna y Rio van juntos al parque de atracciones, vuelven a encontrarse con Ryosuke, el ex de Akari. ¿Qué es lo que querrá...?|978-6-076-34854-3|1|false
FuriFura: Amores y Desengaños #9|9|9|/panini-manga-mx/furifura/furifura-09.jpg|184|119.0|MXN|2020-10-28|Yuna y Rio, que son novios desde que se declararon mutuamente sus sentimientos en el festival cultural, pasan juntos una dulce Navidad. Kazuomi y Akari también comparten la noche de Navidad y hablan de sus sueños (Kazu también le cuenta a Akari sobre la presión que siente por parte de sus padres), pero aunque la distancia entre los dos se acorta, su relación todavía no avanza. Mientras tanto, Ryosuke, el exnovio de Akari, amenaza a Kazuomi diciéndole que no pierda el tiempo o será él quien tome la iniciativa e intente recuperar a Akari...|978-6-075-68033-0|1|false
FuriFura: Amores y Desengaños #10|10|10|/panini-manga-mx/furifura/furifura-10.jpg|184|119.0|MXN|2021-01-27|Kazuomi sabe que Akari le contó sus problemas familiares a Ryosuke y, celoso, le dice a Akari que a él también le puede contar lo que quiera. ¡Kazuomi parece cada vez más dispuesto a confesar lo que siente...! ¡Pero Ryosuke no pierde ni un segundo para acortar distancias con Akari!|978-6-075-68127-6|1|false
FuriFura: Amores y Desengaños #11|11|11|/panini-manga-mx/furifura/furifura-11.jpg|192|119.0|MXN|2021-03-24|Kazuomi decide hablar con sus padres acerca de su sueño de futuro, consciente de que, como ya pasó con su hermano mayor, no lo van a apoyar. Al ser sincero con ellos, intenta sacar el valor para sincerarse también con Akari y confesarle lo que siente por ella. Por otro lado, Akari tiene que darle una respuesta a Ryosuke, su exnovio, que hace poco se le declaró, y se dirige al parque para hablar con él. Yuna y Rio siguen saliendo juntos, y Rio, tras ver la determinación de Akari y Yuna, por algún motivo se dirige a la estación...|978-6-075-68229-7|1|false
