NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Re:Zero - Capítulo 3: La Verdad de Zero #1|1|1|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-01.jpg|200|119.0|MXN|2020-04-01|"Subaru Natsuki es un chico de preparatoria que fue invocado a otro mundo, un muchacho carente de todo poder, solo recibió en este otro mundo la habilidad de volver en el tiempo cuando muere: el ""Regreso por Medio de la Muerte"". Subaru ha logrado finalmente recuperar sus días de calma tras superar los ciclos de la muerte en los que se vio atrapado tanto en la capital de Lugnica como en la mansión del margrave Roswaal. Sin embargo, cuando un mensajero llega anunciando que es momento de comenzar con la selección real, un nuevo capítulo en su historia se abre..."|978-6-076-34494-1|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #2|2|2|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-02.jpg|200|119.0|MXN|2020-07-08|La selección real sigue su curso, aunque faltan algunos caballeros, las candidatas ya están listas y exponen sus planes en caso de que sean seleccionadas como reinas. Cada una de ellas está muy segura de lo que puede y debe hacer para ganar, son imperativas y altaneras, incluso desprecian a los súbditos. hasta que Emilia y el margrave Roswaal expongan sus planes, solo entonces todas las candidatas se darán cuenta contra quién se enfrentan y por qué deberían tener cuidado en esa competencia: el mismísimo consejo real se divide y se escandaliza por la intromisión de la candidata Emilia y, desde luego, por la presentación de Subaru Natsuki.|978-6-076-34810-9|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #3|3|3|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-03.jpg|200|119.0|MXN|2020-09-09|Subaru Natsuki está de regreso en la capital, donde todo comenzó. La selección real dio comienzo en el Reino de Lugnica y, al mismo tiempo, Emilia se despidió de Subaru. Gracias a la percepción compartida de Rem, Subaru logra descubrir que el peligro se cierne sobre el territorio Mathers. Sin embargo, al volver a la mansión, ¡¿qué se revela ante sus ojos?!|978-6-075-68002-6|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #4|4|4|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-04.jpg|200|119.0|MXN|2020-11-11|"Después de jurar venganza contra Petelgeuse, el Arzobispo del Pecado, Subaru regresa de nuevo por medio de la muerte a la Capital, pero no consigue el apoyo de las candidatas, pues lo consideran ""inmaduro"". Entonces se encuentra acorralado y. ¡¿hace su aparición la monstruosa y legendaria ballena blanca?!"|978-6-075-68093-4|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #5|5|5|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-05.jpg|148|129.0|MXN|2021-02-10|"Subaru vuelve a la mansión Roswaal con el propósito de derrotar al culto de la bruja, pero en el camino es atacado por la temible Ballena Blanca y solo el sacrificio de Rem le permite escapar. Al fin logra llegar a la mansión, pero una vez más, tras perder horriblemente a Emilia, el ""regreso por medio de la muerte"" lo hace revivir de nuevo…."|978-6-075-68219-8|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #6|6|6|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-06.jpg|180|129.0|MXN|2021-04-14|Con el fin de aliarse con Crusch, duquesa líder de la familia Karsten, Subaru le propone eliminar juntos a la ballena blanca como carta triunfal en la negociación, e incluso recluta a Anastasia y a Russel para convencerla. Así, con Subaru al frente de la misión, pues es el único que conoce el lugar y el momento en que la ballena blanca aparecerá, la batalla para eliminarla comienza.|978-6-075-68357-7|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #7|7|7|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-07.jpg|172|129.0|MXN|2021-06-09|"La ""ballena blanca"", el temible engendro de la bruja, devora a Wilhelm, el demonio de la espada, y se divide en tres monstruos. En medio de la batalla desesperada, Subaru se alza de nuevo y por fin llega a la verdad para darle vuelta a la situación. ¿Qué nueva jugada temeraria prepara con tal de alcanzar la victoria?"|978-6-075-68430-7|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #8|8|8|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-08.jpg|164|129.0|MXN|2021-08-25|"La tropa de exterminio pone fin a la larga historia de tragedias causadas por la ""ballena blanca"". Sin embargo, la batalla de Subaru aún no termina, pues debe detener al culto a la bruja que amenaza a Emilia. Con la inclusión de Julius en la tropa de exterminio, todos se dirigen de inmediato al dominio Mathers, donde Subaru confronta a su némesis Petelgeuse, el arzobispo del pecado, y logra acabar con su vida, pero."|978-6-075-68586-1|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #9|9|9|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-09.jpg|156|129.0|MXN|2021-10-20|"Subaru por fin regresó al dominio Mathers para enfrentar a Petelgeuse, su némesis. La batalla se vuelve cada vez más complicada cuando Petelgeuse despliega sus ""dedos"" y Subaru, después de reencontrarse con Emilia, al fin logra acorralar al último de ellos. Sin embargo, cuando parece que logran recuperar la ventaja, algo extraño comienza a sucederle al cuerpo de Subaru."|978-6-075-68716-2|1|false
Re:Zero - Capítulo 3: La Verdad de Zero #10|10|10|/panini-manga-mx/re-zero-chapter-three/re-zero-chapter-three-10.jpg|180|129.0|MXN|2021-12-22|Luego de que Petelgeuse se apodera del cuerpo de Subaru para acabar con él, este regresa por medio de la muerte y lleva a cabo un plan infalible para derrotar al arzobispo del Pecado de la Pereza con la ayuda de Julius, con quien sincroniza sus sentidos para lanzar un ataque conjunto. Además, Subaru le revela a Emilia el gran amor que siente por ella. ¿Será correspondido por la semielfo?|978-6-075-68818-3|1|false
