NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Demon Slayer: Kimetsu no Yaiba #1|1|1|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-01.jpg|208|99|MXN|2020-03-01|Tanjiro Kamado vive en una montaña junto con su madre y sus cinco hermanos pequeños. Un día baja al pueblo para vender carbón. Al día siguiente, regresa y encuentra a su familia masacrada. Su hermana Nezuko muestra señales de vida, y trata de llevarla al pueblo para que un médico la vea, pero ella se transforma en demonio y lo ataca. Ahí un Caza Demonios, Giyu Tomioka, llega de repente con la intención de matar a Nezuko, pero ella protege a Tanjiro. Giyu ve algo diferente en Nezuko y le ordena a Tanjiro que busque a Sakonji Urokodaki para que lo entrene como Caza Demonios y encontrar pistas para convertir a Nezuko otra vez en humana.|978-6076347041|1|FALSE
Demon Slayer: Kimetsu no Yaiba #2|2|2|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-02.jpg|192|99|MXN|2020-03-25|Tanjiro supera la Selección Final y se convierte en un cazademonios de la Compañía. Regresa con Urokodaki y encuentra a Nezuko ya despierta y bien. Le entregan su espada nichirin y le asignan su primer trabajo como cazademonios: investigar las desapariciones de unas jóvenes. Su sentido del olfato le ayuda a encontrar al demonio responsable, y lo derrota peleando lado a lado con Nezuko, logrando rescatar a una joven. Luego le asignan otro trabajo en Asakusa, donde encuentra al posible demonio responsable de la masacre de su familia, Muzan Kibutsuji, pero este logra escapar. Ahí encuentra a un par de demonios que inesperadamente le ofrecen ayuda.|978-6076347058|1|FALSE
Demon Slayer: Kimetsu no Yaiba #3|3|3|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-03.jpg|184|99|MXN|2020-06-24|En la mansión de Tamayo, Tanjiro logra derrotar a los dos demonios sirvientes de Kibutsuji, y queda con la misión de obtener sangre de demonios cercanos a él para que Tamayo investigue la manera de convertir a Nezuko en humana. En el camino al siguiente trabajo, Tanjiro se encuentra con otro cazademonios, Zenitsu, y ambos entran a una mansión para rescatar a unos niños de las garras de unos demonios. Uno tiene el poder de manipular la gravedad en los cuartos de la mansión, por lo que Tanjiro tiene dificultades para derrotarlo. Zenitsu, protegiendo a otro niño, muestra su habilidad contra otro. Ahí dentro, conocen a otro cazademonios, un tanto peculiar y salvaje.|978-6076348475|1|FALSE
Demon Slayer: Kimetsu no Yaiba #4|4|4|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-04.jpg|208|99|MXN|2020-06-24|Al salir de la mansión de los tambores, Tanjiro encuentra a Inosuke golpeando a Zenitsu, quien está protegiendo la caja de Nezuko. Tanjiro e Inosuke tienen una pelea hasta que se calman los ánimos. Luego, los tres reciben la indicación de ir a una mansión para recuperarse de sus heridas, y ahí empiezan a formar un lazo. Después, reciben la orden de ir a una montaña a cazar demonios. Ahí encuentran a varios miembros de la Compañía siendo masacrados por demonios araña, y Tanjiro e Inosuke se unen a la batalla. Zenitsu se queda atrás por miedo, pero su gorrión lo convence de ir, y empieza a mostrar su valía.|978-6076348482|1|FALSE
Demon Slayer: Kimetsu no Yaiba #5|5|5|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-05.jpg|192|99|MXN|2020-07-22|Tanjiro e Inosuke continúan su batalla contra el demonio araña padre, pero no pueden contra él. Ambos se separan e Inosuke se queda solo, pero en el último momento llega Giyu a salvarlo. Por otro lado, Tanjiro cae donde se encuentra Rui, el líder de la familia de demonios. Nezuko sale de la caja para salvar a Tanjiro, y Rui se obsesiona con su lazo de hermanos y trata de matar a Tanjiro para quedarse con Nezuko. Además, Zenitsu sigue convaleciente por el veneno de las arañas...|978-6076348499|1|FALSE
Demon Slayer: Kimetsu no Yaiba #6|6|6|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-06.jpg|184|99|MXN|2020-08-10|La batalla con los demonios araña termina, y un cuervo da la orden de que capturen a Tanjiro y a Nezuko y los lleven al Cuartel General de la Compañía. Ahí, los Pilares piden un juicio para ejecutarlos. Ahí se aparece el Comandante de la Compañía, y les dice a los Pilares que los acepten. Sanemi Shinazugawa, el Pilar del Viento, no queda muy conforme. Tanjiro, Zenitsu e Inosuke son atendidos en la mansión de Shinobu y luego entrenan para regresar al trabajo.|978-6076349021|1|FALSE
Demon Slayer: Kimetsu no Yaiba #7|7|7|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-07.jpg|176|99|MXN|2020-09-23|Tanjiro y los demás han terminado su tratamiento, y se despiden de la mansión de las mariposas. Tanjiro busca pistas sobre la técnica de respiración de su padre, y queda de verse con Rengoku, el Pilar de las Llamas, en un tren para hablar de eso. Dentro, Enmu, el Menguante Uno, les lanza un hechizo de sueño y manda a humanos a invadir sus sueños para matarlos. Tanjiro sueña con su familia, pero sus instintos le dan pistas para que despierte, y por fin lo logra. Con ayuda de Nezuko, logra despertar a los demás, y mientras Rengoku, Zenitsu y ella protegen a los pasajeros de Enmu, Tanjiro e Inosuke buscan el punto débil del demonio.|978-6076349854|1|FALSE
Demon Slayer: Kimetsu no Yaiba #8|8|8|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-08.jpg|160|99|MXN|2020-10-28|Tanjiro es capaz de detener el tren. Mientras los cazademonios se ocupan de ayudar a los heridos, Akaza, un Luna Creciente, cae del cielo y le ofrece a Rengoku convertirlo en un demonio para que viva para siempre. Rengoku se rehúsa, y los dos libran una cruenta batalla que tiene un final trágico para los cazademonios. De regreso a la mansión de las mariposas, Uzui, el Pilar del Sonido, trata de raptar a las chicas que trabajan ahí para una misión...|978-6076349861|1|FALSE
Demon Slayer: Kimetsu no Yaiba #9|9|9|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-09.jpg|176|99|MXN|2020-11-25|Tengen Uzui, el Pilar del Sonido, recluta a Tanjiro, Zenitsu e Inosuke para infiltrarse en el distrito rojo de Yoshiwara y encontrar inteligencia sobre los demonios que ahí acechan. Cada uno es asignado a un establecimiento de la vida alegre, donde circulan rumores e historias de chicas desaparecidas. Tanjiro y los demás se van acercando a descubrir la verdad, pero es posible que el culpable de esas desapariciones sea alguien que ellos no puedan manejar.|978-6075680811|1|FALSE
Demon Slayer: Kimetsu no Yaiba #10|10|10|/panini-manga-mx/kimetsu-no-yaiba/kimetsu-no-yaiba-10.jpg|176|99|MXN|2020-12-16|Tanjiro está a punto de morir al sobrepasar su límite físico en la batalla contra Daki, la Creciente Seis. Nezuko aparece para rescatarlo, y le propina una golpiza a Daki, pero la batalla hace que su naturaleza demoníaca se apodere de ella y pierda el control. Uzui, Inosuke y Zenitsu llegan con ellos, pero aparece otro cruel demonio, Gyutaro, del lado de Daki, y no se ve que las cosas mejoren.|978-6075681344|1|FALSE
