NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Boruto: Naruto Next Generations #1|1|1|/panini-manga-mx/boruto/boruto-01.jpg|200|109.0|MXN|2020-06-17|Panini Manga trae para ti BORUTO, la historia que presenta la siguiente generación de shinobis de la Aldea Oculta de Konoha. El hijo del Séptimo Hokage, harto de estar en segundo lugar en la vida de su afamado padre, buscará su propio camino ninja. ¡en el que pretende derrotarlo! Sé testigo de las aventuras de aquellos cuyas misiones crearán poco a poco una nueva realidad. ¡No te lo puedes perder!|978-6-076-34714-0|1|false
Boruto: Naruto Next Generations #2|2|2|/panini-manga-mx/boruto/boruto-02.jpg|200|109.0|MXN|2020-08-19|"Boruto ha superado la segunda etapa del Examen Chunin y Naruto quiere creer en aquello de que ""la esencia de los shinobis no cambia"". La alegría de Boruto es inmensa cuando en las pruebas derrota a su contrincante bajo la mirada atónita de su padre, pero eso pronto ha de cambiar, acontecimientos terribles que involucran el pergamino hallado por Sasuke se desatan, ¡y el Séptimo Hokage es secuestrado! Sasuke tomará a su discípulo y partirá en búsqueda de su eterno rival con la sola esperanza de que siga con vida."|978-6-076-34894-9|1|false
Boruto: Naruto Next Generations #3|3|3|/panini-manga-mx/boruto/boruto-03.jpg|192|109.0|MXN|2020-10-21|¡Una habilidad que solo Boruto posee podría ser la clave para salir del aprieto en el que están metidos los Kages y su maestro, Sasuke Uchiha! Su camino ninja y su destino son algo que él planea decidir, pero parece que alguien ha visto su futuro. Pero por ahora, antes de que lo anunciado llegue, se encuentra atado a una misión que promete que causarle, nada más ni nada menos, ¡que enormes dolores de cabeza!|978-6-076-34971-7|1|false
Boruto: Naruto Next Generations #4|4|4|/panini-manga-mx/boruto/boruto-04.jpg|184|109.0|MXN|2021-01-20|"Boruto es por ahora el guardaespaldas de Tento, cuya vida aparentemente fácil comienza a recordarle la propia, por lo que poco a poco logra ver más allá de su actitud mimada y comienza a entender sus motivaciones más profundas. Una amistad empieza a crecer cuando Tento es secuestrado por ""Mujina"", un grupo de delincuentes que pretende obligar al daimyo no solo a brindarles una fortuna, sino a liberar a peligrosos criminales. Boruto no duda y acude al rescate, ¡sin tener idea de lo que enfrentará! ¿Logrará salir ileso esta vez?"|978-6-075-68118-4|1|false
Boruto: Naruto Next Generations #5|5|5|/panini-manga-mx/boruto/boruto-05.jpg|184|119.0|MXN|2021-03-17|Boruto enfrenta a su padre con el fin de hacer cierta prueba y, como se esperaba, es vencido a la vista de todos; pero hay algo en esa derrota que le fastidia: ¡su padre empleó armas científicas! Y no solo eso, ¡ahora tiene por misión escoltar a Katasuke Tono, el mismo profesor que le provocó aquel enorme problema durante el Examen Chunin! No le gusta en lo absoluto, pero debe cumplir y parte hacia su destino, ignorante de que Konohamaru, su maestro, corre un grave peligro.|978-6-075-68244-0|1|false
Boruto: Naruto Next Generations #6|6|6|/panini-manga-mx/boruto/boruto-06.jpg|176|119.0|MXN|2021-05-19|El encuentro contra Ao exigirá una estrategia casi milimétrica, resistencia y un gran trabajo en equipo. El papel de Boruto no será menor y deberá demostrar que ha aprendido las últimas lecciones que sus maestros y sus propios errores le han brindado. Y, aun cuando él y sus compañeros logren algún resultado positivo en su lucha contra el ex shinobi de Kirigakure, la peor amenaza está por llegar, y, a consecuencia de ello ¡algo extraordinario se manifestará para asombro de propios. y deleite de extraños!|978-6-075-68372-0|1|false
Boruto: Naruto Next Generations #7|7|7|/panini-manga-mx/boruto/boruto-07.jpg|176|119.0|MXN|2021-07-21|"Kara no pretende perder su valioso ""recipiente"" y Boruto y su equipo están a punto de enfrentar un ataque de dicha organización. La marca que su encuentro con los Otsutsuki dejó en Boruto, es decir, el Karma, es una amenaza y una fortaleza al mismo tiempo. Kawaki, el chico que han de llevar a la aldea para poder comprender las intenciones de Kara y los alcances del Karma, resulta ser no solo un oponente colosal, sino alguien que terminará presentándole a Boruto, a quien considera un niño berrinchudo, ¡una propuesta difícil de rechazar!"|978-6-075-68494-9|1|false
Boruto: Naruto Next Generations #8|8|8|/panini-manga-mx/boruto/boruto-08.jpg|176|119.0|MXN|2021-09-15|Kara acecha cuidadosamente los movimientos de Kawaki. Infiltrarse en Konoha sin ser detectado parece imposible, sin embargo, uno de los perseguidores lo logra, mientras que el otro debe esperar con paciencia. sin conseguirlo. Boruto y Kawaki empiezan su entrenamiento, pero eso no es lo único que inicia. Uno de los Inners de Kara pretende recuperar su recipiente de inmediato y se enfrentará a quien sea, ¡incluso a Naruto Uzumaki!, quien no permitirá que le ponga un dedo encima a su invitado de honor.|978-6-075-68630-1|1|false
Boruto: Naruto Next Generations #9|9|9|/panini-manga-mx/boruto/boruto-09.jpg|176|119.0|MXN|2021-11-17|"¡Una increíble batalla que pone en un riesgo terrible a Hima Uzumaki se está desarrollando! ¡¿Alguien debe intervenir?! La furia de Naruto Uzimaki se libera y la poderosa Delta debe morir, pues es una amenaza, pero las cosas no siempre son lo que parecen. Una vez en la aldea, Kawaki tendrá un encuentro muy interesante que tal vez lo ayude a encontrar en el mañana la ""pieza que le falta""."|978-6-075-68785-8|1|false
Boruto: Naruto Next Generations #10|10|10|/panini-manga-mx/boruto/boruto-10.jpg|176|129.0|MXN|2022-01-19|¡Un chakra oscuro ha penetrado en la aldea de Konoha y está en la casa del Séptimo Hokage! Se trata de Jigen, quien por fin aparece para llevarse su preciado recipiente. El Karma de Boruto se altera y, temiendo por Kawaki, acude en su búsqueda. Mientras tanto, Naruto hará cuanto esté en sus manos para evitarle daños a su protegido, ¡pero todo indica que el enemigo es mucho más poderoso que él!|978-6-075-68864-0|1|false
Boruto: Naruto Next Generations #11|11|11|/panini-manga-mx/boruto/boruto-11.jpg|192|139.0|MXN|2022-03-16|Boruto, ayudado de Kawaki y en compañía de su equipo, intenta rescatar a su padre, quien fue llevado a otra dimensión por el líder de Kara. Naruto está prisionero, pero no se encuentra solo: Boro, con su poder descomunal, lo vigila y se opondrá a los jóvenes ninjas con la intención de recuperar su ansiado recipiente... y quizá a alguien más. Ahora los shinobis del Equipo Siete renacido deberán hallar la forma de derrotar a su formidable enemigo a fin de que el Séptimo Hokage no deje de existir.|978-6-075-68981-4|1|false
Boruto: Naruto Next Generations #12|12|12|/panini-manga-mx/boruto/boruto-12.jpg|176|129.0|MXN|2022-05-25|¡Una traición gestada durante tiempo desconocido está a punto de consumarse! Amado aparece repentinamente en la aldea de Konoha, toma a Shikadai como rehén y exige hablar con su padre. ¡Las negociaciones revelan un peligro terrible para el planeta entero! Una gran batalla entre Koji Kashin y Jigen se desata, ¡y quienes la miran también son testigos de lo que sucede con Kawaki como recipiente!|978-6-076-36125-2|1|false
Boruto: Naruto Next Generations #13|13|13|/panini-manga-mx/boruto/boruto-13.jpg|176|129.0|MXN|2022-07-27|Por más que Koji Kashin lucha con decisión a fin de eliminar la amenaza Isshiki, este es demasiado poderoso y no logra su objetivo. El Otsutsuki se dirige a Konoha, donde Amado ha hablado suficiente acerca del plan del Fruto de Chakra. Ahora Naruto y Sasuke saben que deberán enfrentarlo, pero primero deben garantizar la seguridad de los habitantes de la aldea, pues mientras Kawaki permanezca en ella todos corren peligro. Boruto debe tomar una decisión, pues las palabras de Amado y su batalla contra Boro le han dejado en claro el verdadero plan de su enemigo. ¡¿Estará listo para el sacrificio que los lleve a la victoria?!|-|1|false
