NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Radiant #1|1|1|/panini-manga-mx/radiant/radiant-01.jpg|200|109.0|MXN|2019-05-22|"Seth es un joven aspirante a brujo y, como todos ellos, es un ""infectado"": uno de los raros humanos que sobrevivió al contacto con némesis, criaturas caídas del cielo que siembran el terror. El camino más obvio para aquellos dotados con esta inmunidad es combatir a estos monstruos. Pero, más que limitarse a cazarlos, lo que Seth quiere es destruir la propia cuna de los némesis. Para lograrlo, emprende un viaje en busca de ese mítico lugar, el Radiant, mientras enfrenta a una población atemorizada ante los de su especie y a la persecución de la terrible Inquisición."|978-6-075-48928-5|1|false
Radiant #2|2|2|/panini-manga-mx/radiant/radiant-02.jpg|184|109.0|MXN|2019-07-10|Ahora que Seth parece dominar un poco mejor sus poderes gracias a las enseñanzas del maestro Yaga, se dirige junto a Doc y Mélie a Rumble Town, uno de los últimos bastiones de la era industrial. Su misión: ¡cazar a un némesis con vida! Pero la Inquisición controla a la población con mano de hierro y promete una tentadora recompensa a quien capture a Seth. Complots, manipulaciones, traiciones, cacería de infectados: la confusión alcanza su apogeo cuando aparece Grimm, un misterioso personaje de rostro vendado e intenciones dudosas. ¿Está relacionado con la presencia de némesis? ¿Quién es y por qué ataca a los brujos cuando él mismo sabe usar la magia?|978-6-076-34075-2|1|false
Radiant #3|3|3|/panini-manga-mx/radiant/radiant-03.jpg|200|109.0|MXN|2019-09-11|Durante el candente enfrentamiento entre brujos e Inquisición, Hameline, la flautista que parece estar relacionada con los derrumbes que sufrió Rumble Town hace 15 años, lanza sus némesis sobre el islote. Mientras este amenaza con desintegrarse, sus habitantes intentan huir, pero el capitán inquisidor Konrad de Marbourg, ignorando el peligro que representa Hameline, la emprende con ellos. En medio de este caos, Seth y sus compañeros tratan de salvar el distrito Norte y a sus residentes, ¡pero la caída es inminente! ¿Enemigos o aliados? Esta crisis invierte todos los papeles... ¿Quiénes son aquí los monstruos?|978-6-076-34075-2|1|false
Radiant #4|4|4|/panini-manga-mx/radiant/radiant-04.jpg|184|109.0|MXN|2019-11-27|¡El combate en Rumble Town llega a su fase final! Mientras el ataque de fantasía parece haber afectado a la bruja flautista, alguien que se esconde bajo una capa de inquisidor aparta a Seth del campo de batalla. ¿Quién es? ¿Y qué quiere de él? Este encuentro sacude las convicciones del joven brujo, y la línea entre aliado y enemigo se vuelve más delgada que nunca. El destino de Rumble Town se encuentra a merced de los poderes enfrentados cuando, de repente, entran en escena los taumaturgos...|978-6-076-34414-9|1|false
Radiant #5|5|5|/panini-manga-mx/radiant/radiant-05.jpg|184|119.0|MXN|2020-01-29|De regreso al Artemis tras lo sucedido en Rumble Town, Seth, Doc y Mélie se separan. Con la ayuda de Alma, Seth descubre más cosas sobre Piodon, su misterioso hermano. Pero la búsqueda del Radiant ya ha esperado demasiado y Seth decide partir hacia el islote-continente de los caballeros brujos. En este nuevo mundo que se abre ante él, las condiciones no son ideales para Seth, que, además, deberá enfrentarse a un nuevo fenómeno: unas extrañas visiones que lo asaltan cada vez con mayor frecuencia.|978-6-076-34539-9|1|false
Radiant #6|6|6|/panini-manga-mx/radiant/radiant-06.jpg|184|119.0|MXN|2020-03-25|Seth se materializa en medio de unos campos de cultivo y, mientras está allí atrapado y lucha desesperadamente por librarse de la parálisis, el enfrentamiento genera fenómenos sobrenaturales excepcionales en Cyfandir. Los caballeros brujos están tan abrumados por las apariciones de némesis spectrum que incluso los aprendices serán llamados al rescate. Finalmente, Seth queda herido de gravedad. La esperanza de sanarlo se encuentra en el bosque de Caillte... ¿Pero logrará salir de él?|978-6-076-34694-5|1|false
Radiant #7|7|7|/panini-manga-mx/radiant/radiant-07.jpg|184|119.0|MXN|2020-07-22|Mientras los ataques de los némesis marcan la vida cotidiana de las fuerzas de Caislean Merlin, nuestros protagonistas intentan llegar hasta el final sobre el complot relacionado con los spectrums. Mientras tanto, los barones comerciantes continúan su misteriosa visita de reconocimiento de Cyfandir en un contexto que parece serles favorable. Pero ¿cómo espera ese pequeño grupo de nobles apoderarse de un islote-continente tan ferozmente custodiado? El barón Doussant parece tener una idea...|978-6-076-34805-5|1|false
Radiant #8|8|8|/panini-manga-mx/radiant/radiant-08.jpg|184|119.0|MXN|2020-09-23|¡Llega el día en que los aspirantes van a ser nombrados caballeros brujos! Mientras Mélie y Myr tienen un ojo puesto en los festejos, Seth y Doc se infiltran en los sótanos del castillo para buscar documentos sobre el Radiant y descubrir quién es Diabal. Cuando la fiesta está en su pleno apogeo, la Inquisición ataca Cyfandir. ¿Pero por qué iniciar una guerra? ¡Si con la fantasía los caballeros brujos son casi invencibles! ¿Es posible que los barones comerciantes puedan inclinar la balanza?|978-6-076-34994-6|1|false
Radiant #9|9|9|/panini-manga-mx/radiant/radiant-09.jpg|184|119.0|MXN|2020-11-25|La guerra continúa en Cyfandir y el ejército de la reina Boadicée se ve en jaque después de que sus adversarios activen un dispositivo que crea un vacío de fantasía en todo el campo de batalla. Mientras Mélie, Ocoho y Doc se encuentran en dificultades, Dragunov escolta a Seth para entregarlo a los taumaturgos... ¡Pero los brujos no deben perder! Si cae el reino de Cyfandir, la libertad de los infectados pasará a ser un recuerdo lejano...|978-6-075-68091-0|1|false
Radiant #10|10|10|/panini-manga-mx/radiant/radiant-10.jpg|176|119.0|MXN|2021-02-24|La guerra entre la Inquisición y Cyfandir se acerca a su fin. El arsenal desplegado por los taumaturgos y los barones comerciantes parece haber derrotado a los caballeros brujos. ¡Seth y los suyos se ven obligados a huir del campo de batalla para refugiarse en el bosque de Caillte! Pero incluso ese lugar, que hasta ahora había permanecido fuera de todo alcance, parece haber caído en las garras del enemigo...|978-6-075-68223-5|1|false
Radiant #11|11|11|/panini-manga-mx/radiant/radiant-11.jpg|184|119.0|MXN|2021-04-07|Seth se ve embarcado contra su voluntad en la famosa Broom Broom Cup Survival, en la que lucha por el primer puesto junto a Taj. Mientras tanto, en el Artemis, las consecuencias de su intervención en Rumble Town resurgen de una manera inesperada. Obligados a perseguir a un antiguo aliado, Seth y sus compañeros se dirigen a Bôme, la capital de los Reinos de Estrie, conocida por ser la sede de la Inquisición, pero también por albergar a una de las facciones más grandes de domitors, los famosos adiestradores de némesis.|978-6-075-68318-8|1|false
Radiant #12|12|12|/panini-manga-mx/radiant/radiant-12.jpg|176|119.0|MXN|2021-05-26|De camino a Bôme para recuperar al némesis que Grimm robó, Seth, Mélie, Doc y Ocoho se separan debido a su enfrentamiento, por un lado, contra un némesis y, por otro lado, contra una integrante de la Mesnada que come infectados. Pero este no será su único problema: la presencia a bordo de la aeronave del general inquisidor Sargon da a entender que pronto va a tener lugar una reunión de altos cargos de la Inquisición en el mismo Bôme, su destino...|978-6-075-68406-2|1|false
Radiant #13|13|13|/panini-manga-mx/radiant/radiant-13.jpg|176|119.0|MXN|2021-07-28|Se prepara el concilio de los generales y los inquisidores más influyentes del Pharenos se dirigen al cuartel general de Bôme para decidir el destino de los infectados tras las secuelas de la guerra de Cyfandir. Pero Bôme es también la capital clandestina de los domitors... y estos están decididos a sacudir los cimientos de la ciudad milenaria.|978-6-075-68515-1|1|false
Radiant #14|14|14|/panini-manga-mx/radiant/radiant-14.jpg|184|119.0|MXN|2022-01-19|Mientras trata de encontrar a sus amigos, de los que se separó al llegar a Bôme, Seth cae en una trampa tendida por los domitors. Tras verse empujada por Ocoho a revivir un episodio traumático de su pasado, Mélie está enojada con su amiga. A Doc, por su parte, las cosas se le complican aún más: fue reclutado por la Academia del Asta, escuela de formación para futuros inquisidores de Bôme. Mientras tanto, el Concilio de los generales se prepara, bajo la atenta mirada de Grimm...|978-6-075-68655-4|1|false
