NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Hunter X Hunter #1|1|1|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-01.jpg|184|99.0|MXN|2018-01-16|¡Ya está aquí una de las series más esperadas: Hunter x Hunter de Yoshihiro Togashi! Esta es la historia de Gon Freecss, un muchacho que vive en la Isla Kujira, y aspirante a ser cazador. Fascinado por la naturaleza y los animales exóticos, decide atrapar a la bestia del pantano de su isla para que Mito, su tía, le permita presentar la prueba de cazador. Gon no conoce a sus padres, ellos dejaron a Gon al cuidado de Mito y su abuela desde que pequeño. Así es como este muchacho emprende la travesía por mar y tierra para lograr su sueño: ser un hunter. ¡No te pierdas ningún volumen de esta serie! Ver más|-|1|false
Hunter X Hunter #2|2|2|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-02.jpg|184|99.0|MXN|0000-00-00|Gon, Leorio y Kurapika llegaron a la sede de la prueba de cazador. Después de haber enfrentado diversas etapas de eliminación, lograron seguir, sanos y salvos, dentro de la serie de competencias. Pero no será tan fácil: los examinadores más astutos están listos para poner a prueba las habilidades físicas y mentales de los concursantes y de qué manera… ¡también verán al presidente del comité de evaluación! ¿Gon logrará sobresalir del resto de los contrincantes? ¡No te pierdas el tomo 2 de Hunter X Hunter! Ver más|-|1|false
Hunter X Hunter #3|3|3|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-03.jpg|184|99.0|MXN|0000-00-00|Los candidatos a cazador deben salir de la Trick Tower y para lograrlo se enfrentan a una pelea a puño limpio con los presos, cuya sentencia está en juego. Kurapika sale victorioso al enfrentarse con el descomunal Majitani. Pero la prueba no termina ahí. Al parecer será un enfrentamiento a muerte. Después se preparan para la siguiente prueba del “cazador y la presa” en la que a cada aspirante deberá cazar a uno de sus compañeros para quitarle la placa con el número que se les asignó en un sorteo. ¿Qué sucederá con Gon, Kurapika y Leorio y Killua? ¿Lograrán cazar a su presa o serán eliminados? ¡No te pierdas el volumen 3 de Hunter X Hunter! Ver más|-|1|false
Hunter X Hunter #4|4|4|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-04.jpg|184|99.0|MXN|0000-00-00|Las últimas pruebas de cazador han comenzado. Todos los contrincantes están dispuestos a lo que sea para lograr pasar a la siguiente etapa. Los participantes deberán conseguir seis puntos reuniendo las placas asignadas a los contrincantes para continuar en la competencia, pero para el equipo de Gon, Leorio y Kurapika las cosas se complicarán…. ¡El objetivo de Gon es el más temido contrincante: Hisoka! Kurapika se enfrenta contra Imori, quien muy en el fondo es miedoso, y Leorio busca a Ponzu… ¿Qué sucederá? ¡¡No te pierdas el tomo 4 de Hunter X Hunter!! Ver más|-|1|false
Hunter X Hunter #5|5|5|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-05.jpg|184|99.0|MXN|0000-00-00|La última prueba del examen de cazador ha terminado. Gon fue uno de los pocos competidores en aprobar. Pero pasa algo inesperado, Killua desaparece y se cree que es a causa de su hermano mayor, Illumi Zoldyck, encubierto como Gittarackur en el examen. Gon, Kurapika y Leorio deciden partir hacia la Kukuroo Mountain en donde vive la familia Zoldyck para rescatar a su amigo. ¿Lograrán entrar a la mansión de la familia Zoldyck sin un solo rasguño? ¡Descúbrelo en Hunter X Hunter 5! Ver más|-|1|false
Hunter X Hunter #6|6|6|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-06.jpg|200|99.0|MXN|2018-06-20|Gon y Killua continúan su ascenso en el Coliseo del Cielo, donde buscaran llegar al piso 200 para volverse más fuertes al enfrentar a los peleadores que yacen ahí. Conocerán a un singular peleador y su maestro, quien les dará nuevos conocimientos...|978-6-075-48193-7|1|false
Hunter X Hunter #7|7|7|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-07.jpg|192|99.0|MXN|2018-07-18|La batalla entre Hisoka y Kastro está en su punto crítico. Kastro sucumbe ante las artimañas de Hisoka, quien ha demostrado ser superior en cuanto a estrategia se refiere. Mientras tanto Gon y Killua comienzan su entrenamiento real con el maestro Wing. ¡Sin embargo, un grupo de contrincantes paralizan al pequeño Zushi! ¿Qué sucederá? ¡Se avecina el encuentro entre Gon y Hisoka! ¿Los demás contrincantes habrán concluido su entrenamiento? ¡No te pierdas el #7 de Hunter X Hunter! Ver más|978-6-075-48260-6|1|false
Hunter X Hunter #8|8|8|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-08.jpg|200|99.0|MXN|2018-08-15|Gon y Killua dejan el Coliseo del Cielo satisfechos por todos los aprendizajes y el dominio de habilidades como la “Nen”. Gon decide ir a casa a ver a Mito después de estar tanto tiempo lejos. Pero su objetivo sigue siendo encontrar a su padre ahora que se ha convertido en cazador. Killua acompañará a Gon a Yorknew City para conseguir un juego de edición limitada que podría aportar pistas sobre el paradero de Ging Freecss. ¡Descubre lo que sucederá en el #8 de Hunter x Hunter!|-|1|false
Hunter X Hunter #9|9|9|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-09.jpg|192|99.0|MXN|2018-09-01|¡Ya está aquí la novena entrega de Hunter x Hunter 9! Gon y Killua se dirigen a Yorknew City, desean conseguir el dinero suficiente para comprar el juego misterioso Greed Island. Ambos llegan a la ciudad el mismo día en el que se llevará a cabo la subasta subterránea, evento que congrega a los mafiosos más importantes del orbe... De forma inesperada todos los objetos a subastar desaparecieron... ¿Qué sucederá? ¡No te pierdas ningún número de esta serie! Ver más|978-6-075-48394-8|1|false
Hunter X Hunter #10|10|10|/panini-manga-mx/hunter-x-hunter/hunter-x-hunter-10.jpg|200|99.0|MXN|2018-10-24|Gon, Killua y Leorio deben conseguir entrar en la subasta de la casa Southernpiece. Así es como comienzan con una serie de tretas para conseguir el dinero y así conseguir el pase de ingreso: ¡un catálogo que cuesta doce millones de jenny! Mientras tanto, el grupo en el que Kurapika trabaja se ve relacionado con los sucesos ocurridos en la subasta... Él deberá infiltrarse para atrapar a las arañas. ¡No te pierdas el volumen 10 de Hunter x Hunter! Ver más|-|1|false
