NAME|KEY|NUMBER|COVER|PAGES|PRINTED_PRICE|CURRENCY|RELEASE_DATE|SHORT_REVIEW|ISBN10|EDITION|VARIANT
Lovely★Complex #1|1|1|/panini-manga-mx/lovely-complex/lovely-complex-01.jpg|184|109.0|MXN|2020-08-19|Risa Koizumi es una chica de 15 años muy alta para su edad y Atsushi Otani es un chico bajito. Un maestro les pone el sobrenombre de un dúo cómico y se vuelven famosos en la escuela, pero ambos resienten esa atención no deseada, y se desquitan entre ellos. Un día, en un curso extra, Atsushi se da cuenta de que a Risa le gusta un chico, Suzuki, y se ofrece a ayudarla a cambio de que ella le ayude con Chiharu, una amiga de Risa. Hacen lo posible por hablar bien el uno del otro con sus respectivos intereses amorosos, pero todos terminan pensando que Risa y Atsushi se gustan.|978-6-076-34863-5|1|false
Lovely★Complex #2|2|2|/panini-manga-mx/lovely-complex/lovely-complex-02.jpg|184|109.0|MXN|2020-10-21|La pareja de comedia con nivel de compatibilidad del 100% de Risa y Otani pasa por un montón de altibajos. Se enamoran de diferentes personas al mismo tiempo y, al mismo tiempo, sufren desamor. Apuestan en una competencia para ver cuál de los dos consigue pareja primero. Pero, cuando Risa se entera de que Otani tiene una exnovia, no puede ocultar su conmoción...|978-6-075-68045-3|1|false
Lovely★Complex #3|3|3|/panini-manga-mx/lovely-complex/lovely-complex-03.jpg|176|109.0|MXN|2021-01-20|Risa todavía no está segura de cuáles son sus sentimientos hacia Otani, y en eso Haruka le habla para declararle su amor. Otaniy los demás interrumpen la escena cuando Risa lo rechaza, y Haruka culpa de todo a Otani, pero se pone en duda si Haruka realmente ama a Risa o si solo la veía como su heroína. Risa y Otani pasan a segundo año, y Seiko, una chica muy linda de primero, se interesa por Otani cuando lo ve en la presentación del club de básquetbol.|978-6-075-68139-9|1|false
Lovely★Complex #4|4|4|/panini-manga-mx/lovely-complex/lovely-complex-04.jpg|176|119.0|MXN|2021-03-17|El grupo va al mar en las vacaciones de verano, y todos apoyan a Risa para que se le declare a Otani, pero no se da el momento ideal. Además, él es muy denso y piensa que Risa está sufriendo por alguien más y se enoja porque nadie le dice de quién se trata. Al final de las vacaciones, llega el cumpleaños de Risa y Otani la invita a un festival de fuegos artificiales. Bajo incontables destellos, se da la ocasión, pero la reacción de Otani es....|978-6-075-68270-9|1|false
Lovely★Complex #5|5|5|/panini-manga-mx/lovely-complex/lovely-complex-05.jpg|184|119.0|MXN|2021-05-19|Después del fiasco del curri de oso, Risa le pide a Otani que se olvide de todo lo que ocurrió. Al principio continúan la excursión por Hokkaido algo incómodos, pero Risa se esfuerza para regresar a ser la pareja cómica de siempre. Pero un encuentro inesperado hace que reafirme su amor por Otani y jura hacer que él también se enamore de ella. En Navidad, lo acompaña a una fiesta con sus compañeros de la secundaria, lo que hace que resurja una sombra del pasado.|978-6-075-68391-1|1|false
Lovely★Complex #6|6|6|/panini-manga-mx/lovely-complex/lovely-complex-06.jpg|184|119.0|MXN|2021-07-21|Risa está dispuesta a hacer que Otani se enamore de ella, y un día lo visita a su casa cuando él cae enfermo. Entonces ocurre un suceso que le da muchas esperanzas. Pero al día siguiente Otani no recuerda nada, y Risa se da por vencida. En el nuevo año escolar, llega un nuevo maestro bien parecido llamado Maitake a la escuela, y parece estar interesado en ella. Otani no está muy contento de que las atenciones de Risa ahora se concentren en él...|978-6-075-68508-3|1|false
Lovely★Complex #7|7|7|/panini-manga-mx/lovely-complex/lovely-complex-07.jpg|176|119.0|MXN|2021-09-29|Otani obliga a Risa que lo lleve a casa con la excusa de su herida del pie para alejarla del maestro Maity. Nobu y Chiharu opinan que está celoso, pero ella no lo cree. Risa decide que todo sea como antes y organiza a todos para que apoyen a Otani en su último partido del basquetbol. Él queda tan conmovido que le confiesa algo a Risa al final...|978-6-075-68638-7|1|false
Lovely★Complex #8|8|8|/panini-manga-mx/lovely-complex/lovely-complex-08.jpg|208|119.0|MXN|2021-11-24|Risa y Otani salen a un centro de juegos, donde Risa trata de quedar bien con él, pero fracasa de varias maneras. Otani la consuela diciéndole que solo tiene que ser ella misma. Días después, Risa va a su casa para hacer juntos una tarea, y ahí conoce a Mimi, una vecina de Otani, quien está enamorada en secreto de él. Cuando se queda a solas con Risa, la amenaza con hacerle la vida un infierno si no lo deja. ¿Qué es lo que nuestra protagonista hará con esta vecinita?|978-6-075-68743-8|1|false
Lovely★Complex #9|9|9|/panini-manga-mx/lovely-complex/lovely-complex-09.jpg|184|119.0|MXN|2022-02-09|Risa y Otani están en los últimos meses de tercero de preparatoria, y disfrutan mucho al pasar juntos el tiempo en la escuela. Sin embargo, es momento de que elijan qué van a hacer después de graduarse, y de repente Otani dice que quiere ir a la universidad porque tiene un sueño. Risa al principio cree que no va en serio y se burla de él, pero...|978-6-075-68919-7|1|false
Lovely★Complex #10|10|10|/panini-manga-mx/lovely-complex/lovely-complex-10.jpg|184|119.0|MXN|2022-03-16|Otani sigue ocupado estudiando para el examen de admisión a la universidad y trata a Risa como a un estorbo. Por otro lado, ella comienza a llevarse bien con Kohori, un compañero del trabajo, a quien también le gusta Umibozu. Él comienza a interesarse por ella y la invita a un concierto. ¿Cómo reaccionará Otani?|978-6-075-68968-5|1|false
Lovely★Complex #11|11|11|/panini-manga-mx/lovely-complex/lovely-complex-11.jpg|184|129.0|MXN|2022-04-06|Risa y Otani se reconcilian en Navidad, pero Otani está ocupado estudiando para el examen de admisión que apenas puede ir con ella y los demás al templo para recibir el Año Nuevo. Por otro lado, la relación de Nobu con Nakao está en peligro porque ella piensa asistir a una universidad en Hokkaido. ¿Qué será de ellos?|978-6-076-36057-6|1|false
Lovely★Complex #12|12|12|/panini-manga-mx/lovely-complex/lovely-complex-12.jpg|184|129.0|MXN|2022-05-04|Otani ya por fin es libre de estudiar para el examen de la universidad, y él y Risa salen a divertirse. En el camino se encuentran con Mimi, quien está trabajando como modelo. Eso inspira a Risa para buscar una carrera relacionada con la moda. Luego, se publican los resultados de los exámenes y ocurre algo inesperado... ¡Incluye una historia extra titulada Te seguiré amando aunque seas una estrella!|978-6-076-36110-8|1|false
